id,Edicion,Id_Propuesta,Titulo,Codigo_Ambito_Referencia,Ambito_Referencia,Tipo_Proponente,Numero_Apoyos,Pasa_Fase_Apoyos,Pasa_Fase_Viabilidad,Numero_Votos,Seleccionada,Presupuesto_euros,Mision_Climatica,Fecha creacion,Fecha_Baja,id_distrito,nombre_distrito,match_status
2000,4,2229,VIA AUGUSTA. SAN MIQUEL DELS REIS FINS EL RIU A TRAVeS DEL CARRER SAGUNT,5,la Saidia,Representante GT,0.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,5,la Saïdia,matched
2042,4,2271,MEJORA DE LA ROTONDA ENTRADA BENIMaMET,18,1,Particular,20.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,18,Pobles de l'Oest,matched
2057,4,2286,CAMBIO EN LA URBANIZACIoN DE LA PLAZA DE LA CALLE MESTRE BEGANT,4,Campanar,Particular,1.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,4,Campanar,matched
2082,4,2311,ACTUALIZACIoN DEL PARQUE TRES FORQUES-CHIVA,8,Patraix,Particular,36.0,SI,SI,84.0,NO,537049.0,No aplicable,2023-04-27,,8,Patraix,matched
2125,4,2354,RENOVACIoN ZONA INFANTIL/AJARDINAMIENTO C/BEATRIZ TORTOSA,13,Algiros,Particular,16.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,13,Algirós,matched
2212,4,2441,REURBANIZACIoN AJARDINAMIENTO EN LA CALLE DOCTOR OLORIZ,5,la Saidia,Representante GT,0.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,5,la Saïdia,matched
2229,4,2458,AV.PUERTO DIGNIFICACIoN CARRIL BICI,20,No consta,Particular,1.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,20,No consta,missing
2239,4,2468,PUNTOS DE RECARGA DE VEHiCULOS ELeCTRICOS,2,l'Eixample,Representante GT,0.0,SI,SI,219.0,NO,45000.0,No aplicable,2023-04-27,,2,l'Eixample,matched
2355,5,3043,Reurbanizacion Av. Constitucion entre c/ Coronel Montesinos y Av. Hnos. Machado,Toda la ciudad,Toda la ciudad,Particular,20.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2381,5,3069,Construccion de un carril bici en la calle Maximiliano Thous,Toda la ciudad,Toda la ciudad,Particular,80.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2461,5,3149,Adecuar Solar de Avda. Juan XXIII (nº impares) con calle Gil Sumbiela.,Toda la ciudad,Toda la ciudad,Particular,24.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2578,5,3266,Comprar una parcela de la Zal,Toda la ciudad,Toda la ciudad,Particular,9.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2685,5,3373,Mas semaforos en maestro rodrigo del numero 82 al 88,Toda la ciudad,Toda la ciudad,Particular,3.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2754,5,3442,Contenedores de Reciclaje Soterrados en La Xerea,Toda la ciudad,Toda la ciudad,Particular,4.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2811,5,3499,Ampliacion L70 EMT hasta final tres creus,Toda la ciudad,Toda la ciudad,Particular,27.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
2928,5,3617,Semaforos,Toda la ciudad,Toda la ciudad,Particular,1.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,0,Toda la ciudad,global
3034,6,4090,Soterramiento contenedores basura,7,l'Olivereta,Particular,24.0,NO,NO,0.0,NO,,No aplicable,2023-04-27,,7,l'Olivereta,matched
3070,6,4126,Accesibilidad paso inferior torres Quart y Serranos,1,Ciutat Vella,Particular,46.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,1,Ciutat Vella,matched
3284,6,4340,Construccion de Colegio/Instituto Publico en Av. Levante.,16,Benicalap,Particular,146.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,16,Benicalap,matched
3287,6,4343,AJARDINAMIENTO ZONA ANTONIO FERRANDIS - BLAS GAMEZ ORTIZ - ANGEL DE VILLENA,10,Quatre Carreres,Particular,65.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,10,Quatre Carreres,matched
3325,6,4381,Mercado municipal en Malilla,10,Quatre Carreres,Particular,177.0,SI,NO,0.0,NO,,No aplicable,2023-04-27,,10,Quatre Carreres,matched
